This file was created using the 202602 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME, AC/B.

The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year. NI (net stock issues), the change in the natural 
log of the split-adjusted shares outstanding from the fiscal year-end in t-2 to t-1. 
Ac/B (accruals) is the change in operating working capital per split-adjusted share from t-2 to t-1
divided by book equity per split-adjusted share in t-1.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoAC,ME1 AC2,ME1 AC3,ME1 AC4,SMALL HiAC,ME2 AC1,ME2 AC2,ME2 AC3,ME2 AC4,ME2 AC5,ME3 AC1,ME3 AC2,ME3 AC3,ME3 AC4,ME3 AC5,ME4 AC1,ME4 AC2,ME4 AC3,ME4 AC4,ME4 AC5,BIG LoAC,ME5 AC2,ME5 AC3,ME5 AC4,BIG HiAC
196307,    0.0972,    0.5003,    1.1942,    0.0483,   -0.4929,   -1.7133,    1.8129,   -1.5426,    0.6861,    0.0463,   -3.1020,   -3.4422,   -1.9081,    0.5040,   -2.7482,   -1.2648,   -0.5833,   -1.8101,   -1.8760,   -2.3958,    0.9027,    0.0526,    0.3729,    0.4457,   -2.1461
196308,    3.5592,    5.0658,    4.5237,    3.1423,    2.6434,    6.3096,    4.1811,    6.3258,    4.8529,    5.0626,    6.8632,    5.0184,    4.1943,    4.5671,    6.8775,    6.8831,    4.8463,    6.3585,    5.9480,    7.7847,    7.4874,    4.7258,    4.6575,    7.0009,    6.2356
196309,   -0.7227,   -1.8040,   -0.9430,   -2.4238,   -0.5517,   -3.7876,    1.2518,   -1.4093,   -2.4090,   -2.3070,   -1.7084,   -2.8344,   -2.7556,   -2.7756,   -0.6972,   -3.5797,   -0.9579,   -0.1204,   -4.4343,   -2.7161,   -0.1910,    0.0972,   -2.6079,   -1.0858,    0.9306
196310,    0.8216,   -0.3697,    2.0022,   -0.3094,   -1.5135,    1.6137,    6.3952,    1.5924,    2.4583,    0.2043,    2.8191,    1.0813,    1.9180,    1.5811,    3.2960,    4.2470,    1.8223,    2.2489,    1.2223,    0.7899,   11.9067,    2.7214,    2.6963,    4.0256,    0.3164
196311,   -1.5940,   -2.7805,   -3.6437,   -2.6440,   -2.4094,   -0.3071,    2.1445,   -0.6098,    0.2078,   -0.8174,   -0.5713,   -1.7389,   -2.2095,   -2.3636,   -1.1347,   -0.4020,   -0.8896,   -1.6086,    1.9890,    1.1439,   -4.7037,    1.5167,   -0.8774,   -0.7042,   -0.7613
196312,   -1.9750,   -1.2991,    3.4149,    0.1559,   -2.1892,    0.6110,    2.7353,    0.7242,    0.6232,   -0.6448,    2.3930,    1.6347,    0.3283,    0.8629,    0.4064,    0.3106,    3.3049,    3.3960,    0.2776,   -3.4185,    1.1367,    2.3475,    4.4778,    3.2249,    0.1285
196401,    4.8871,    7.4397,    2.9068,    2.0785,    4.6345,    0.9960,    6.1326,    3.5629,    3.7939,   -1.6579,    1.6209,    2.8183,    0.6308,    3.4960,    2.4949,    2.1465,    1.9840,    2.0426,    2.6404,   -1.5274,    1.1622,    3.9662,    3.4311,    2.1357,    0.8582
196402,    0.7864,    0.7372,    1.9981,    1.9396,    3.2418,    1.6418,    1.9990,    2.1409,    4.8287,    2.9168,    2.4313,    4.3087,    2.5096,    2.8345,    0.6859,    4.8973,    3.5038,    1.5340,    3.6653,    2.4738,    1.5965,    1.9269,    0.9316,    1.9092,    2.8391
196403,    4.7612,    1.7464,    2.9175,    1.7947,    1.1699,    9.2918,    4.6247,    4.6323,    4.5550,    2.8132,    5.5180,    8.7075,    4.7815,    4.2512,    0.4588,    6.7461,    3.4870,    4.5708,    3.1398,    1.6676,    1.8949,    1.5452,    2.2154,    0.4886,    1.7918
196404,    0.8932,   -1.5800,    3.5585,   -1.5017,   -0.6176,   -0.7738,   -2.0293,   -0.4949,   -1.3620,   -1.3641,   -0.5293,   -3.2132,   -1.1396,   -0.2144,   -1.0432,   -3.7322,    4.6428,    0.1127,   -2.4173,   -0.4641,    2.4371,    0.1408,    1.2476,   -1.4622,    0.4334
196405,    0.7915,    0.9710,    0.8268,    0.3410,    0.5758,    4.5004,    6.0840,    3.9889,    0.9821,    0.0090,    3.5471,   -0.5564,   -0.3880,   -1.5922,    0.5729,    1.1060,    2.4448,    2.0619,    0.7777,    3.4883,    3.1903,    1.6424,    0.7739,    0.8591,    2.2559
196406,    2.6728,   -0.1014,    3.4560,   -1.6004,    0.4267,    3.2848,    1.9958,   -1.1148,    1.4177,    2.8612,    2.0490,    2.8975,    1.3201,    2.7323,    2.7367,    3.3096,    0.5785,    0.8219,    1.8755,    1.3740,    1.4343,    1.8718,    1.0156,    1.6288,    2.6687
196407,    2.8805,    4.0392,    2.4201,    2.7706,    3.7224,    4.5732,    2.1194,    2.6263,    2.2660,    2.1163,    2.6139,    1.2851,    2.1631,    4.7921,    2.4151,    1.8443,    0.9806,    1.5056,    1.9817,   -0.5658,    2.8669,    0.3059,    0.7199,    5.0158,    1.2790
196408,    0.1471,   -0.8287,    2.1505,   -0.8600,   -1.5067,   -0.1224,   -0.8487,   -1.3361,   -1.7651,   -2.8764,   -2.8375,   -0.2386,    1.3817,   -1.3164,   -0.2158,   -0.3413,   -0.5425,   -0.2651,    0.9931,    1.1439,    0.4059,   -1.3554,   -2.8100,   -0.0077,   -1.0005
196409,    5.8383,    2.8626,    4.3469,    3.4966,    4.4564,    1.1130,    2.6007,    2.8898,    4.1408,    2.6742,    2.5418,    3.8584,    1.3204,    3.3168,    1.9510,    4.9309,    4.5020,    2.1568,    4.8713,    5.0391,    4.1927,    1.9307,    2.7170,    3.4244,    4.9285
196410,    1.3320,    3.3279,    0.2337,    3.0731,    3.5679,    3.1603,    2.0139,    2.0468,    3.6493,    0.2157,    4.1326,    5.0796,    1.4315,    1.9538,    2.3930,    1.2869,    2.1543,    2.8646,    2.9934,    0.6575,    0.3802,   -0.1810,    1.8470,    0.4455,    0.2260
196411,    0.2930,   -0.8860,    0.1557,    0.6047,   -0.4397,   -0.2966,   -2.5401,   -0.5379,    0.5278,   -0.6869,    0.4395,   -0.1353,    0.0523,    1.5273,    0.9652,    0.9437,    1.3683,   -0.0557,   -0.5817,   -1.3286,    0.8701,    0.2453,    0.9358,   -1.3808,    1.5035
196412,   -2.2368,   -0.7356,   -0.0683,   -2.2595,   -0.7103,    2.3471,   -1.4258,    1.7615,   -1.6668,    0.8890,   -0.6939,   -1.5657,   -1.1719,   -0.0402,    0.8992,   -0.3354,    0.7406,   -1.6685,   -1.1818,    1.9354,   -0.5798,    0.4369,    0.0533,    2.0211,    2.0093
196501,    6.6205,    6.0796,    6.9710,    6.6043,    9.2859,    6.1271,    6.9586,    4.2530,    6.1984,    7.5373,    6.3590,    5.8655,    6.6835,    5.9974,    5.8250,    7.4798,    4.7246,    4.3565,    6.4335,    5.9513,    2.5711,    3.1385,    1.9757,    4.5152,    4.8432
196502,    3.9322,    4.1768,    3.0273,    3.2623,    2.1575,    4.9828,    3.3925,    4.1101,    3.4779,    3.8848,    5.6479,    7.9845,    4.6062,    2.2834,    3.5840,    4.5572,    2.7461,    2.2063,    4.6061,    2.4497,    2.1968,    0.7262,   -1.1336,   -0.6131,    1.6979
196503,    1.8731,    0.7129,    4.2763,    2.4095,    1.8570,    2.1144,    3.0792,   -0.5116,    1.1495,   -0.3609,   -1.0163,    0.3101,    0.9340,    1.0943,   -0.8779,   -1.7941,    0.2325,    0.5812,   -0.5163,    1.0463,   -0.9379,   -1.8037,   -2.0793,    0.2432,   -3.0551
196504,    4.5855,    3.6287,    1.3163,    5.4919,    5.9962,    2.5010,    6.8079,    3.6601,    4.1930,    4.5590,    4.7892,    3.7585,    3.0316,    2.9905,    6.9869,    4.2864,    3.4244,    5.7798,    3.2113,    7.0084,    3.5399,    3.2160,    2.8033,    5.9149,    5.4695
196505,   -2.3129,   -1.0181,    0.9983,    0.4718,    0.7292,   -0.5513,    0.7067,   -0.4574,   -1.7650,    3.9075,   -0.6106,    3.4356,    0.0430,   -0.3861,   -1.1821,    1.6329,    0.0039,   -1.4491,   -1.1827,   -0.7244,   -0.4080,    1.2263,   -0.8791,   -2.6062,    1.8022
