This file was created using the 202602 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME, BETA.

The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year. Beta is estimated using monthly returns for the past 60 months
 (requiring at least 24 months with non-missing returns). Beta is estimated using the Scholes-Williams method.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoBETA,ME1 BETA2,ME1 BETA3,ME1 BETA4,SMALL HiBETA,ME2 BETA1,ME2 BETA2,ME2 BETA3,ME2 BETA4,ME2 BETA5,ME3 BETA1,ME3 BETA2,ME3 BETA3,ME3 BETA4,ME3 BETA5,ME4 BETA1,ME4 BETA2,ME4 BETA3,ME4 BETA4,ME4 BETA5,BIG LoBETA,ME5 BETA2,ME5 BETA3,ME5 BETA4,BIG HiBETA
196307,   -0.8298,   -0.4149,    0.1298,   -0.3008,   -1.0766,   -1.3293,   -0.3112,   -0.1917,   -2.2229,   -1.9805,   -0.2173,   -2.1776,   -2.9485,   -2.8157,   -1.5325,   -0.1562,   -1.5892,   -2.5191,   -2.0652,   -1.5513,    1.4545,    0.3696,   -1.0967,   -0.4737,    0.8989
196308,    1.9000,    4.2716,    2.8531,    1.8913,    3.6061,    1.1406,    3.7232,    2.4697,    5.3862,   10.0258,    2.7265,    4.9982,    4.6192,    4.8096,    7.5224,    3.4313,    4.5365,    5.2726,    6.7964,    9.4784,    3.8276,    4.9488,    6.1287,    6.4878,   11.7921
196309,   -0.7720,   -1.5739,   -0.4256,   -1.0386,   -3.3320,   -0.9369,   -2.3022,   -3.4147,   -0.5693,   -3.4766,   -1.0824,   -0.6479,   -2.0482,   -1.2792,   -3.2821,   -1.8069,   -1.8778,   -0.7033,   -4.3550,   -4.4604,   -3.0615,   -0.7361,   -0.5810,   -0.1931,   -1.1519
196310,   -0.3692,    0.9966,    1.7423,    4.2280,    2.1767,    2.7799,    2.7846,    1.1590,    3.6146,    4.3655,    1.3700,    1.8930,    1.0906,    5.1561,    1.3167,    0.4628,    0.3597,    0.8854,    1.6408,    4.0759,    0.7047,    3.8488,    2.4913,    6.8115,    5.4960
196311,    0.8252,   -2.3312,   -1.2441,   -0.9597,   -1.8638,    1.1942,    0.3169,   -1.2051,   -0.8631,   -1.1548,   -1.7055,   -0.7385,   -2.4590,   -1.7648,   -0.4079,    1.1336,   -1.0606,   -0.5911,   -0.0649,    0.4209,   -0.8662,   -0.7863,    0.2827,   -0.9160,    0.8859
196312,   -1.7176,   -0.8928,    2.1374,   -2.5964,   -0.0488,   -0.1272,   -0.3338,    1.4651,    0.3027,    0.3274,   -0.0508,    0.9560,    1.0316,    1.6186,    0.8050,   -0.2732,    2.2495,    2.2992,    3.0669,    1.7816,    3.2894,    2.0905,    2.8623,    2.2759,    1.9642
196401,    3.1651,    3.9801,    3.9288,    4.2719,    3.6784,    1.4779,    2.4032,    2.6569,    2.9903,    1.8885,    0.9702,    2.6449,    1.8508,    2.7227,    2.9896,    1.7739,    0.3685,    2.1044,    0.9944,    1.0973,    3.1575,    2.7704,    2.7463,    4.0625,   -0.0517
196402,    1.1124,    3.7286,    1.6385,    3.1057,    3.4278,    3.1664,    3.4388,    4.5055,    2.8664,    4.7235,    2.6892,    2.3096,    2.7715,    2.4437,    3.1204,    3.4849,    2.8044,    1.2943,    3.0618,    5.4523,    0.9033,    0.9021,    2.4952,    2.8594,    1.4184
196403,    3.4339,    2.8875,    4.1681,    4.8642,    2.4502,    2.5037,    3.4256,    3.5581,    3.2115,    7.3680,    0.5076,    5.0510,    3.4287,    7.1450,    3.8287,    1.7195,    2.7050,    3.1831,    3.7617,    5.6478,    0.8134,    0.4263,    1.7636,    2.5932,    6.9969
196404,    1.4488,    0.2796,   -0.1368,   -1.4567,   -1.5020,    0.8171,    0.7450,    1.0683,    2.8706,   -3.3633,    1.2801,   -0.0865,   -0.4474,   -3.1194,   -2.5423,   -0.1783,   -0.9034,   -0.8348,   -0.8918,   -0.9109,    2.8188,    1.9733,   -0.5982,   -2.9778,   -3.1333
196405,    0.8686,    0.2661,    0.8583,    1.3801,   -1.6910,    3.5923,    3.1244,    1.8548,    0.8270,    3.4697,    0.6255,    1.5222,    0.9664,    0.5091,    2.5736,    1.2063,    1.4424,    2.0443,    2.9434,    0.5075,    1.7503,    1.3418,    1.5635,    2.0901,    4.1967
196406,    1.2958,    1.4019,    3.2321,    0.3216,    0.7014,    2.5141,    1.2290,    1.2759,   -1.2407,    4.4428,    2.4620,    1.5778,    2.7463,    2.1523,    2.5326,    1.6702,    2.8592,    1.4206,    1.1369,    1.1062,    1.7247,    2.4207,    0.5536,    1.1270,    1.5002
196407,    3.0855,    1.5962,    4.2967,    3.8233,    3.1726,    4.3780,    3.1420,    2.0157,    4.0997,    0.8819,    2.2794,    2.9165,    2.5875,    2.1315,    2.6831,    3.5888,    2.4576,    2.3373,    2.0831,   -0.4007,    1.3026,    3.5967,    2.0820,   -0.1415,    1.1406
196408,    0.6328,   -0.9106,   -1.7869,   -1.1460,   -1.3707,   -0.1877,    0.0749,   -0.8919,   -1.1544,   -2.5389,   -0.4214,   -1.1583,   -0.2473,    0.5198,   -2.3074,    1.2285,   -0.3617,    0.2691,   -0.8281,   -2.3136,   -1.1669,   -0.5277,   -1.6793,   -2.7049,   -1.6837
196409,    3.7326,    1.8473,    4.3494,    4.8280,    6.2961,    2.3011,    3.1317,    2.5989,    2.7219,    4.1349,    3.0289,    2.8340,    3.6481,    2.3100,    3.0024,    3.6752,    3.4713,    2.5036,    5.7831,    4.7331,    1.2772,    3.2972,    3.7553,    2.5709,    6.9685
196410,    1.5918,    2.2059,    3.7641,    1.7542,    3.0298,    1.4922,    1.1139,    2.2473,    1.8463,   -0.2260,    2.3707,    2.1498,    1.5125,    0.7787,    3.9039,    2.3031,    2.0766,    1.5756,    0.4622,    0.9499,    0.5238,    1.5341,    1.0724,   -1.6963,   -1.2495
196411,    0.8383,   -0.2717,    1.4210,    1.0391,   -1.2154,   -1.0355,    0.2808,   -0.0378,   -0.9128,   -1.6547,    1.7782,   -0.2313,    0.8759,    0.2387,   -0.5158,    1.0132,    0.1350,   -0.2400,   -1.2099,   -0.4469,    0.4908,    0.2203,    1.7392,   -1.1047,   -4.8883
196412,   -2.1709,   -1.0257,   -0.9594,   -2.4840,   -2.6362,    0.1656,   -0.6545,   -1.1636,    0.3807,   -0.5481,    0.7993,   -1.4160,   -0.6542,   -1.2524,   -0.1210,   -0.6952,   -0.7634,    0.2130,    0.2107,   -0.0251,    1.7386,    0.2634,    0.1196,   -0.2719,   -0.9735
196501,    6.4894,    4.5992,    6.6250,    8.5619,    8.7419,    5.4231,    3.4200,    5.7457,    7.6064,    7.3184,    5.2457,    5.1472,    5.7481,    6.2980,    6.2014,    3.6197,    5.2673,    5.8574,    5.0024,    6.4353,    0.8324,    3.5996,    4.3554,    6.4754,    5.6046
196502,    2.8890,    2.1564,    3.9808,    2.3153,    2.1712,    4.5430,    1.4669,    6.6663,    4.0471,    3.5543,    3.3550,    0.6185,    3.2396,    3.8195,    5.5401,    2.6380,    1.5992,    2.2760,    4.8979,    3.2789,   -0.9708,   -0.9854,    0.6895,    2.3943,    4.4619
196503,    2.4565,    3.7334,    1.1507,    2.7660,    2.8202,    1.5087,    0.9998,    0.8561,    1.4391,   -1.0825,    1.0746,    2.3004,   -0.7924,    1.0742,   -0.4849,   -0.2282,   -0.2783,   -0.7942,    0.0977,    0.5412,   -1.5844,   -0.5468,   -2.4317,   -1.0032,   -0.5360
196504,    4.2370,    6.0281,    4.7372,    4.5733,    5.5843,    4.3947,    2.5592,    5.2892,    4.6792,    4.3535,    3.3181,    2.5304,    4.6254,    2.3185,    6.7820,    3.1294,    3.4397,    2.7446,    4.1722,    5.3311,    1.6252,    3.9116,    3.9387,    4.3581,    4.2843
