Cluster Name,Inertia,Vanilla,lambda_1000000,lambda_1000,lambda_100,lambda_0.0001,lambda_1e-05,lambda_1e-06,lambda_1e-07,lambda_1e-08,lambda_1e-09,lambda_1,lambda_0.1,lambda_10,lambda_0.001
L50,34,7,24,38,39,36,36,36,36,36,36,29,8,12,21
L49,42,4,17,23,41,30,30,30,30,30,30,13,29,34,22
L48,47,0,21,45,24,21,21,21,21,21,21,17,45,35,6
L47,21,26,1,21,8,34,34,34,34,34,34,4,39,45,27
L46,22,9,8,3,34,0,0,0,0,0,0,45,10,19,16
L45,8,33,30,1,49,6,6,6,6,6,6,32,44,17,40
L44,10,17,34,17,45,10,10,10,10,10,10,42,24,37,7
L43,35,40,10,8,4,13,13,13,13,13,13,39,2,4,19
L42,20,6,13,34,13,23,23,23,23,23,23,34,18,29,34
L41,40,1,45,13,22,16,16,16,16,16,16,18,22,8,2
L40,17,37,38,0,29,44,44,44,44,44,44,35,27,36,37
L39,1,35,40,24,36,32,32,32,32,32,32,22,16,18,13
L38,38,3,42,36,25,19,19,19,19,19,19,33,13,13,44
L37,45,10,27,27,1,7,7,7,7,7,7,27,0,21,46
L36,13,5,41,43,21,47,47,47,47,47,47,43,32,27,45
L35,24,12,2,29,18,3,3,3,3,3,3,48,12,23,14
L34,6,46,36,46,44,4,4,4,4,4,4,5,36,1,3
L33,15,30,3,10,14,14,14,14,14,14,14,1,19,7,18
L32,18,11,49,40,27,43,43,43,43,43,43,36,43,44,33
L31,0,16,16,44,48,49,49,49,49,49,49,23,14,43,0
L30,37,44,44,42,40,46,46,46,46,46,46,19,28,24,28
L29,11,29,46,14,28,18,18,18,18,18,18,14,34,14,32
L28,12,24,0,49,42,28,28,28,28,28,28,44,3,28,42
L27,31,38,29,28,0,27,27,27,27,27,27,28,38,41,17
L26,9,45,4,22,23,45,45,45,45,45,45,10,42,22,9
L25,39,8,22,19,16,37,37,37,37,37,37,49,9,32,4
L24,28,27,43,16,19,42,42,42,42,42,42,46,47,33,8
L23,49,14,39,18,3,2,2,2,2,2,2,16,11,49,43
L22,36,22,28,41,46,33,33,33,33,33,33,0,17,39,23
L21,32,23,23,2,17,39,39,39,39,39,39,41,4,42,49
L20,16,25,19,4,43,25,25,25,25,25,25,12,49,25,47
L19,46,19,25,12,2,29,29,29,29,29,29,25,37,30,31
L18,23,28,18,30,37,38,38,38,38,38,38,31,31,9,39
L17,7,32,14,39,32,22,22,22,22,22,22,7,48,26,38
L16,33,20,32,32,38,9,9,9,9,9,9,9,35,38,11
L15,30,49,9,47,15,48,48,48,48,48,48,47,15,0,36
L14,19,13,33,15,7,31,31,31,31,31,31,21,25,2,35
L13,2,41,26,37,33,35,35,35,35,35,35,26,33,40,25
L12,3,39,12,11,30,8,8,8,8,8,8,6,5,46,1
L11,48,21,15,26,31,5,5,5,5,5,5,30,6,11,12
L10,26,18,37,9,11,40,40,40,40,40,40,40,21,20,15
L9,14,43,35,25,9,15,15,15,15,15,15,15,7,6,10
L8,43,2,11,33,10,12,12,12,12,12,12,2,40,31,30
L7,25,48,47,6,5,20,20,20,20,20,20,20,26,15,24
L6,27,36,31,48,47,17,17,17,17,17,17,3,46,3,5
L5,5,15,7,7,6,24,24,24,24,24,24,8,23,16,48
L4,44,47,48,35,12,26,26,26,26,26,26,11,1,48,26
L3,4,34,20,20,20,41,41,41,41,41,41,24,41,5,41
L2,41,31,6,5,35,1,1,1,1,1,1,37,30,10,29
L1,29,42,5,31,26,11,11,11,11,11,11,38,20,47,20
