This file was created using the 202602 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on CF/P.

The portfolios are constructed at the end of June.  CF/P is cashflow (earnings
before extraordinary plus deferred tax income statement plus common equity's
share of depreciation) at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Returns -- Monthly
,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
195107,    3.01,    5.57,    8.01,    9.17,    6.54,    5.65,    9.42,    7.03,    8.71,    5.85,    8.02,    3.69,    8.19,    8.71,    9.73,    6.39,   10.14,    8.82,    8.54
195108,   14.65,    3.51,    6.10,    7.02,    3.18,    5.18,    6.55,    5.60,    7.24,    2.84,    3.88,    4.17,    6.44,    4.94,    7.23,    5.39,    6.57,    7.43,    6.97
195109,   -2.90,   -0.16,    0.50,    0.00,   -0.36,    0.35,   -0.87,    1.23,    1.20,   -2.17,    3.38,    0.24,    0.48,    3.72,   -2.77,    2.05,   -2.56,    1.42,    0.88
195110,   -3.62,   -4.50,   -1.36,   -1.55,   -5.57,   -3.23,    1.04,   -1.56,   -2.77,   -5.91,   -4.89,   -2.41,   -4.23,   -2.82,    2.74,   -2.12,    1.13,   -3.32,   -1.96
195111,    8.33,    0.36,    0.91,    0.08,    0.30,    0.56,    0.81,    1.00,    0.03,   -0.63,    2.09,    0.48,    0.65,    1.20,    0.65,    1.18,    0.18,   -0.34,    0.56
195112,   -0.40,    4.35,    4.24,    2.51,    5.38,    3.01,    4.79,    3.58,    2.85,    6.89,    2.52,    2.41,    3.74,    1.74,    6.08,    3.96,    1.79,    3.09,    2.51
195201,    0.10,   -0.57,    2.24,    3.86,   -0.76,    0.82,    3.40,    2.42,    1.46,   -2.61,    2.89,   -0.20,    2.07,    1.79,    4.05,    1.06,    8.94,    0.41,    2.98
195202,   -3.22,   -2.89,   -2.97,   -4.52,   -3.20,   -2.80,   -4.42,   -1.88,   -3.91,   -2.30,   -4.89,   -2.28,   -3.42,   -3.36,   -4.84,   -1.02,   -5.71,   -3.58,   -4.38
195203,   -2.24,    1.80,    6.90,    6.42,    2.01,    3.71,    4.92,    9.15,    5.55,    2.51,    1.05,    1.41,    6.49,    2.20,    6.01,    9.36,    8.16,    6.08,    4.80
195204,   -4.95,   -4.22,   -5.90,   -7.33,   -5.26,   -3.70,   -5.60,   -6.67,   -7.31,   -5.53,   -4.72,   -2.20,   -5.41,   -4.76,   -5.93,   -6.52,   -7.38,   -7.18,   -7.49
195205,   -0.28,    3.24,    3.75,    3.37,    4.01,    2.84,    3.44,    3.99,    2.78,    4.69,    2.70,    1.79,    4.07,    3.38,    3.47,    3.88,    4.53,    3.23,    2.13
195206,    3.20,    3.23,    5.45,    4.97,    3.32,    4.05,    5.44,    5.08,    6.25,    3.74,    2.48,    3.06,    5.20,    2.95,    6.42,    5.62,    2.48,    6.02,    6.60
195207,    0.90,    1.39,    1.11,    0.09,    1.18,    1.75,    0.65,    0.31,    1.42,    1.11,    1.31,    1.70,    1.98,    0.20,    1.54,    1.49,   -1.21,    0.00,    2.38
195208,   -0.89,   -0.04,   -0.92,   -1.69,   -0.89,    1.06,   -0.45,   -2.19,   -1.53,   -1.23,   -0.36,    1.28,    0.22,   -0.62,   -0.12,   -2.45,   -1.84,   -0.15,   -2.43
195209,    5.50,   -1.18,   -2.11,   -3.75,   -1.75,   -0.42,   -1.85,   -3.84,   -2.96,   -2.33,   -0.86,   -0.31,   -0.85,   -2.28,   -1.03,   -3.31,   -4.54,   -2.80,   -3.06
195210,   -1.74,   -0.35,   -0.50,    0.39,   -0.93,   -0.10,   -0.03,    0.15,    0.17,   -1.20,   -0.52,    0.52,   -2.52,    0.33,   -0.70,   -0.21,    0.62,   -0.65,    0.73
195211,    9.89,    7.46,    4.74,    5.25,    8.48,    5.94,    4.20,    4.13,    7.68,    9.44,    7.04,    5.95,    5.87,    3.14,    6.23,    5.14,    2.80,    6.56,    8.43
195212,    3.28,    2.64,    3.43,    3.40,    2.04,    3.31,    3.63,    3.60,    3.29,    1.54,    2.80,    3.55,    2.35,    3.82,    3.28,    3.67,    3.51,    2.13,    4.05
195301,    0.00,   -0.05,   -1.20,   -0.40,   -0.16,    0.16,   -0.96,   -2.31,    1.05,    0.20,   -0.70,    0.10,    0.42,   -1.58,    0.21,   -2.59,   -1.93,    0.58,    1.34
195302,    1.65,   -0.41,   -0.11,    0.20,   -0.43,   -0.29,   -0.42,    0.52,   -0.22,   -1.07,    0.57,   -0.37,    0.06,   -0.86,    0.39,    0.41,    0.67,    0.24,   -0.52
195303,   -2.38,   -1.23,   -1.17,   -1.84,   -0.27,   -2.09,   -1.15,   -1.69,   -2.36,   -0.37,   -0.13,   -2.66,    0.19,   -1.76,   -0.03,   -2.00,   -1.29,   -2.13,   -2.51
195304,   -4.07,   -1.81,   -3.91,   -2.20,   -2.06,   -1.62,   -4.15,   -4.02,   -0.95,   -2.52,   -1.38,   -1.43,   -2.34,   -4.56,   -3.41,   -4.39,   -3.53,   -2.20,   -0.13
195305,   -0.01,    0.54,    1.01,    0.70,    0.73,    0.17,    1.35,    1.16,    0.16,    0.70,    0.77,    0.26,   -0.17,    2.31,   -0.35,    1.07,    1.28,    1.02,   -0.38
195306,   -4.31,   -1.64,   -1.35,   -1.10,   -1.52,   -1.85,   -1.07,   -0.80,   -2.25,   -1.70,   -1.26,   -1.81,   -2.02,   -0.65,   -1.83,   -1.51,    0.12,   -2.69,   -1.96
195307,    3.56,    2.38,    3.13,    3.36,    2.94,    1.82,    3.50,    2.91,    3.82,    2.95,    2.89,    1.67,    2.31,    2.79,    3.82,    3.13,    2.66,    5.17,    2.17
195308,  -10.08,   -3.05,   -3.87,   -7.14,   -2.85,   -3.06,   -4.46,   -5.29,   -7.45,   -2.91,   -2.68,   -3.30,   -2.29,   -2.93,   -5.16,   -4.06,   -6.66,   -6.93,   -8.11
195309,   -5.36,    1.61,    0.05,   -0.63,    1.46,    1.38,    0.56,   -0.91,   -0.61,    2.07,   -0.18,    1.81,    0.01,    1.26,    0.23,   -1.14,   -0.64,   -0.09,   -1.28
195310,   -1.07,    4.35,    4.65,    7.10,    3.50,    5.13,    5.30,    5.46,    6.84,    3.88,    2.45,    5.45,    4.09,    5.03,    5.42,    3.66,    7.50,    6.56,    7.19
195311,   -2.47,    3.52,    2.73,    2.34,    3.84,    2.83,    2.91,    2.47,    2.75,    4.29,    2.58,    3.12,    1.89,    4.25,    2.29,    3.16,    1.72,    2.67,    2.85
195312,   -8.06,    0.42,    0.33,    1.48,    0.49,    0.22,    0.67,    0.87,    1.26,    0.56,    0.29,    0.33,   -0.16,    1.19,    0.41,    0.00,    1.83,    1.85,    0.50
195401,   18.19,    3.31,    6.40,    7.43,    2.51,    4.22,    7.16,    7.32,    7.40,    2.23,    3.33,    4.32,    3.88,    5.32,    8.05,    7.18,    7.47,    6.69,    8.33
195402,    3.08,    1.50,    1.56,    3.12,    0.50,    2.58,    1.49,    2.67,    2.44,    0.17,    1.45,    2.76,    1.99,    1.79,    1.34,    1.29,    4.17,    3.76,    0.74
195403,    5.06,    4.14,    2.94,    5.81,    4.15,    3.76,    3.11,    4.54,    5.55,    3.73,    5.32,    4.12,    2.52,    2.90,    3.21,    2.97,    6.20,    6.23,    4.64
195404,  -10.57,    4.97,    4.66,    4.84,    4.18,    5.14,    5.56,    4.55,    5.12,    5.52,    0.54,    5.93,    2.42,    3.87,    6.36,    4.68,    4.42,    4.00,    6.62
195405,    1.96,    2.32,    3.32,    3.92,    3.44,    1.67,    2.98,    2.99,    4.73,    3.04,    4.58,    0.96,    4.23,    2.23,    3.32,    3.27,    2.70,    3.24,    6.69
195406,    3.69,    3.40,   -0.29,   -1.94,    2.75,    3.66,   -0.54,   -2.41,   -1.18,    2.57,    3.26,    4.21,    1.75,    3.21,   -2.25,   -1.73,   -3.10,   -2.47,    0.46
195407,   29.33,    2.97,    6.26,    7.69,    2.05,    6.84,    5.53,    5.08,    8.67,    0.97,    4.51,    5.04,    8.95,    6.45,    4.62,    4.09,    6.62,    7.25,    9.65
195408,   -7.10,   -3.03,   -1.95,   -2.31,   -3.11,   -3.15,   -3.38,    0.26,   -3.51,   -2.96,   -3.44,   -2.86,   -3.48,   -2.62,   -4.14,    1.05,   -0.95,   -1.85,   -4.63
195409,    4.86,    4.97,    8.86,    9.01,    5.74,    6.75,    5.09,    9.87,    8.78,    6.63,    3.81,    3.28,   10.71,    4.28,    5.93,   10.26,    9.27,    8.18,    9.20
195410,    3.96,   -2.54,   -1.69,   -0.36,   -2.85,   -1.54,   -2.35,   -1.66,    0.88,   -3.56,   -1.25,   -1.85,   -1.22,   -2.02,   -2.68,   -1.61,   -1.72,   -0.80,    2.05
195411,    6.45,    9.80,    7.81,   11.71,   11.69,    6.14,    8.18,    8.69,   14.31,   12.65,    9.58,    5.55,    6.76,    8.19,    8.18,    8.61,    8.80,   12.21,   15.71
195412,   19.39,    2.99,    5.29,    9.27,    3.39,    3.80,    4.86,    6.02,   11.02,    3.24,    3.73,    2.04,    5.66,    4.58,    5.14,    5.27,    7.21,    9.42,   12.05
