This file was created using the 202602 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on D/P.

Each record contains returns for:

Zero Dividends  30%  40%  30%     5 Quintiles    10 Deciles

D/P is computed when the portfolios are constructed, at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Returns -- Monthly
,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
192707,    4.19,    7.90,    8.33,    5.94,    8.01,    8.08,    7.07,   10.35,    4.76,   11.54,    6.29,    7.61,    8.37,    5.92,    9.35,   12.42,    6.92,    5.57,    3.76
192708,    0.97,    3.18,    2.15,    1.66,    4.08,    1.85,    0.83,    4.63,    0.79,    5.45,    3.38,    0.93,    2.42,    0.12,    2.19,    5.92,    2.37,    3.25,   -2.28
192709,    6.63,    4.67,    5.02,    3.57,    4.89,    4.89,    4.62,    5.05,    3.20,    1.82,    6.51,    4.11,    5.35,    4.09,    5.62,    5.71,    3.87,    3.20,    3.20
192710,   -4.83,   -4.80,   -3.51,   -2.90,   -4.56,   -5.95,   -2.24,   -3.36,   -2.32,   -6.53,   -3.57,   -5.39,   -6.28,   -1.99,   -2.71,   -3.36,   -3.35,   -0.96,   -4.12
192711,    7.76,    6.63,    6.44,    8.49,    6.59,    8.54,    5.29,    6.29,    9.42,    6.99,    6.39,    6.75,    9.62,    4.44,    6.88,    5.50,    7.74,    8.13,   11.18
192712,    1.53,    1.62,    2.21,    5.21,    1.62,    2.33,    0.63,    5.87,    5.16,    2.05,    1.39,    1.63,    2.74,    0.91,    0.12,    6.21,    5.25,    8.61,    0.57
192801,   -0.26,   -0.54,   -0.12,   -2.07,   -1.25,    0.71,    0.21,   -2.03,   -1.64,   -1.08,   -1.33,    1.24,    0.41,    0.92,   -1.10,   -1.81,   -2.42,   -1.56,   -1.76
192802,   -2.67,   -2.34,   -0.66,   -0.60,   -2.49,   -1.77,   -0.88,    0.38,    0.48,   -2.74,   -2.36,   -1.96,   -1.66,   -1.32,   -0.04,    1.41,   -1.49,   -0.22,    1.49
192803,   10.42,    8.55,    9.76,    6.13,    9.19,    6.36,    5.89,   18.73,    7.46,   14.11,    6.65,    6.96,    6.01,    4.58,    8.33,   26.10,    5.02,    8.32,    6.25
192804,   11.14,    3.95,    2.99,    5.74,    3.86,    3.25,    3.40,    3.45,    5.54,    4.17,    3.70,    4.17,    2.70,    4.02,    2.28,    2.35,    5.92,    5.52,    5.57
