This file was created using the 202602 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on E/P.

The portfolios are constructed at the end of June.  E/P is earnings before
extraordinary at the last fiscal year end of the prior calendar year divided
by ME at the end of December of the prior year.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Returns -- Monthly
,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
195107,    3.01,    6.40,    8.56,    6.03,    5.77,    8.22,    9.35,    5.20,    8.75,    5.22,    7.32,    8.94,    7.81,    8.59,    9.71,    6.97,    4.85,    9.43,    8.08
195108,   14.65,    3.91,    5.74,    6.62,    2.92,    6.68,    5.54,    6.69,    5.79,    2.56,    3.92,    7.73,    6.10,    4.30,    6.13,    5.17,    6.99,    5.08,    6.51
195109,   -2.90,   -0.20,   -0.17,    1.67,   -0.51,    1.40,   -1.90,    1.92,    1.21,   -1.23,    1.48,    0.94,    1.66,   -0.20,   -2.70,    2.20,    1.86,    1.43,    1.00
195110,   -3.62,   -4.15,   -1.12,   -2.27,   -4.56,   -3.23,    1.17,   -2.54,   -2.07,   -4.92,   -3.61,   -2.64,   -3.56,   -1.76,    2.56,   -3.45,   -2.36,   -3.10,   -1.04
195111,    8.33,    0.26,    0.71,    1.30,    0.16,    0.43,    0.81,    2.08,   -0.43,   -0.19,    1.08,    0.59,    0.33,    0.96,    0.75,    2.16,    2.06,   -0.13,   -0.73
195112,   -0.40,    4.01,    4.88,    2.51,    4.42,    4.24,    4.98,    2.71,    1.79,    5.51,    1.59,    2.54,    5.22,    3.99,    5.44,    2.14,    2.82,    2.15,    1.43
195201,    0.10,    0.58,    2.59,    0.19,   -0.20,    2.06,    3.54,    0.06,    1.85,   -1.98,    4.60,    3.42,    1.30,    0.35,    4.98,    2.93,   -0.51,    1.05,    2.64
195202,   -3.22,   -3.00,   -3.95,   -1.45,   -2.53,   -4.18,   -4.14,   -1.09,   -3.02,   -2.47,   -2.68,   -4.66,   -3.90,   -1.82,   -5.14,   -2.67,   -0.77,   -2.86,   -3.19
195203,   -2.24,    3.02,    5.77,    6.93,    2.66,    5.36,    5.98,    6.89,    5.31,    2.34,    3.47,    4.34,    5.92,    6.28,    5.84,    3.24,    7.63,    5.48,    5.14
195204,   -4.95,   -4.43,   -6.66,   -4.70,   -4.35,   -6.14,   -6.64,   -3.82,   -7.48,   -4.21,   -4.70,   -4.73,   -6.92,   -7.75,   -6.15,   -5.24,   -3.54,   -8.31,   -6.67
195205,   -0.28,    3.36,    3.74,    3.25,    3.01,    3.79,    3.97,    3.54,    2.95,    3.84,    0.93,    4.62,    3.31,    4.42,    3.77,    4.48,    3.37,    4.26,    1.68
195206,    3.20,    3.63,    4.86,    5.76,    3.00,    5.37,    4.98,    5.27,    5.66,    3.47,    1.80,    5.87,    5.09,    5.03,    4.96,    2.48,    5.81,    6.03,    5.29
195207,    0.90,    0.70,    1.34,    1.90,    0.58,    2.19,    1.08,    1.09,    1.98,    0.54,    0.65,    1.42,    2.73,    0.89,    1.63,    0.76,    1.73,    1.98,    1.99
195208,   -0.89,    0.01,   -1.00,   -1.05,   -0.39,    0.71,   -1.09,   -1.18,   -1.04,   -0.58,    0.03,    2.44,   -0.49,   -1.05,   -1.21,   -1.24,   -1.06,   -0.50,   -1.85
195209,    5.50,   -1.19,   -2.34,   -2.23,   -1.23,   -0.93,   -2.46,   -3.40,   -2.02,   -1.15,   -1.40,   -0.95,   -0.91,   -2.58,   -2.12,   -3.79,   -2.65,   -1.87,   -2.24
195210,   -1.74,   -0.77,    0.16,   -0.45,   -0.72,   -0.33,    0.25,   -0.59,   -0.21,   -0.73,   -0.69,   -1.05,    0.18,    0.96,   -1.80,   -0.40,   -0.94,    0.09,   -0.68
195211,    9.89,    7.28,    4.94,    8.41,    7.61,    6.00,    4.51,    6.05,    8.61,    7.80,    7.22,    5.30,    6.48,    4.60,    4.22,    5.03,    8.01,    7.37,   10.52
195212,    3.28,    1.83,    4.12,    2.71,    1.90,    2.75,    4.36,    2.64,    3.49,    1.68,    2.36,    1.43,    3.68,    3.99,    5.45,    3.46,    1.11,    2.75,    4.61
