MKT,SMB,HML,RMW,CMA,RF,year,month,Mom,PS_VWF,R_ME,R_IA,R_ROE,R_EG,PEAD,FIN,SY_SMB,MGMT,PERF,LN_F1,LN_F2,LN_F3,cap_risk,INDPRO,PCE,z_longs,z_shorts,z_longs_diff,z_shorts_diff,ZLp,ZSp
,,,,,,1963,1,,,,,,,,,2.4818199,2.13493902,-2.2751230000000002,-0.184430585,0.039424225,0.042629618,,0.7313667779251798,0.21413276231261325,0.107267492,0.089318989,,,0.1736451212452583,0.1691125895610823
,,,,,,1963,2,,,,,,,,,1.8095753700000001,1.0961370099999999,0.0873805,-0.185148999,-0.08227146,0.081231166,,1.1414946553630623,-0.26709401709401615,0.094476014,0.051200245,-0.012791478000000009,-0.038118744,0.3279102438099701,0.3576440719497253
,,,,,,1963,3,,,,,,,,,-0.8183017000000001,0.58899084,2.32814338,-0.380360409,0.009192669,0.062315719,,0.6153647583146515,0.4284949116229342,0.048735659,0.012277649,-0.045740354999999996,-0.038922596,0.1814319902105454,0.1608966895771058
,,,,,,1963,4,,,,,,,,,-3.7327651000000004,0.01900053,0.50770119,-0.171428202,0.070698618,-0.074184498,,0.9172131209393086,0.3733333333333366,0.349486623,0.313168566,0.300750964,0.300890917,1.3097848741401297,1.1256968577003534
,,,,,,1963,5,,,,,,,,,2.15184543,1.75932042,0.28483846,-0.152772957,0.015200253,-0.037690156,,1.2120849581079174,0.2125398512221155,0.238864803,0.113590266,-0.11062182000000001,-0.1995783,0.372530454360831,0.0776155368250375
,,,,,,1963,6,,,,,,,,,0.09943648000000001,-2.386818,-0.1521306,-0.08095498,-0.090624912,0.00447537,,0.29957704597085577,1.1930010604453978,0.119476233,0.014065008,-0.11938856999999999,-0.09952525799999999,0.1880229413911527,0.2974129998354557
-0.39,-0.45,-0.94,0.66,-1.15,0.27,1963,7,1.0,,,,,,,,-2.0503863,-1.7134513,-1.3391583,-0.152022686,-0.072696438,0.002332186,,-0.3981202536773698,0.7073618024626693,0.048953395,0.020536956,-0.070522838,0.006471947999999998,0.2907542461507373,0.064614396220497
5.07,-0.82,1.82,0.4,-0.4,0.25,1963,8,1.03,,,,,,,,-0.2230629,0.41486201999999994,2.09280905,-0.253808608,-0.154107446,0.109119835,,0.19967091275490123,0.4942767950052218,0.196406959,0.033554945,0.14745356399999998,0.013017989000000004,0.7144613304780445,0.2319972842326545
-1.57,-0.48,0.17,-0.76,0.24,0.27,1963,9,0.16,,,,,,,,-0.8812091,0.8398419,0.8393909999999999,-0.383993554,0.055622963,-0.147567457,,0.9971031606915481,-0.20709293295366749,0.095943482,0.00911396,-0.100463477,-0.024440985000000002,0.2904717955844904,0.0610423257414782
2.53,-1.3,-0.04,2.75,-2.24,0.29,1963,10,3.14,,,,,,,,-0.39575499999999997,-0.3751353,4.7212645900000005,0.002392577,-0.136860348,-0.008581618,,0.690935265467485,0.12970168612191912,0.185920484,0.010072253,0.089977002,0.000958292999999999,0.5393407632156122,0.05997662677788
