,lambda_1000000,lambda_1000,lambda_100,lambda_0.0001,lambda_1e-05,lambda_1e-06,lambda_1e-07,lambda_1e-08,lambda_1e-09,lambda_1,lambda_0.1,lambda_10,lambda_0.001
2,22.52715393150924,21.392875086828557,21.31951403375877,21.305585779671613,21.305585779671613,21.305585779671613,21.305585779671613,,,21.30569490064884,21.305366263399065,21.296603033207433,21.305585779671613
3,15.60604971063432,15.559038274039759,14.70616147714677,14.784514474991495,14.784514474991495,14.784514474991495,14.784514474991495,,,14.784631454912287,14.785125078825121,14.772308304504339,14.784514474991495
4,11.785542230552922,13.707850831605139,13.701100369824378,13.61357918292682,13.61357918292682,13.61357918292682,13.61357918292682,,,13.624432615999357,13.616684131553384,13.612366442375775,13.61357918292682
5,10.353029917172963,11.018097531940755,11.215569172841871,11.225183923134322,11.225183923134322,11.225183923134322,11.225183923134322,,,11.237272382314556,11.221608157061757,11.217879676838416,11.225183923134322
6,9.215236556608973,9.450314756711434,9.496134381237917,9.597415006430353,9.597415006430353,9.597415006430353,9.597415006430353,,,9.621055925830433,9.591333480944295,9.628310454094873,9.597415006430353
7,7.4797800957524405,7.766646979021735,8.171773386652392,7.93395868374775,7.93395868374775,7.9368630610607,7.9368630610607,,,7.974573711572176,7.8929236435415415,8.068220767599598,7.93395868374775
8,7.984140508303754,7.640988960059329,7.62692496634618,7.561307199132091,7.561307199132091,7.561307199132091,7.561307199132091,,,7.520764727975277,7.551775082817707,7.619647648520416,7.557341369735481
9,7.500123377857967,6.786019831818196,7.403037955556328,7.022492852857859,7.022492852857859,7.022492852857859,7.022492852857859,,,6.913579538689316,6.872873660470099,7.472858033908873,7.026269448644597
10,6.3860857473440555,6.415494627433166,6.898391816850119,6.800063249987267,6.800063249987267,6.800063249987267,6.800063249987267,6.800063249987267,6.800063249987267,6.888568942690117,6.809974068998314,6.928082272700916,6.800063249987266
15,5.2339751332578714,4.645999129518698,4.46293718673646,4.708114540379861,4.708114540379861,4.708114540379861,4.708114540379861,,,4.9674230621194155,4.999970712714663,4.64508007044205,4.724565889258756
20,4.04834627941395,3.361452686930267,3.174897086975867,3.068122300500995,3.068122300500995,3.068122300500995,3.068122300500995,,,2.846194721098326,2.9730161038204943,2.8669739916638406,3.068122300500994
25,3.2946205767381747,2.424242607384137,2.103917805479176,2.3093052187942398,2.3093052187942398,2.3093052187942398,2.3093052187942398,,,2.4222775488183372,2.3222689686817612,2.2099155172089033,2.5973627275944264
30,2.5195578011734447,1.858686230583361,1.6907727537649666,1.692564208821063,1.612390787687237,1.612390787687237,1.612390787687237,,,1.8285641937426238,1.7405883058689393,1.6398255932582275,1.6465123935181984
35,2.007656963854683,1.4010228792083246,1.0567756523128682,1.512881384712411,1.4422008605883847,1.4422008605883847,1.4422008605883847,,,1.468720316244735,1.2935637523890786,1.531634693060437,1.397825622477132
40,1.3118545396631052,1.0527979582290514,1.05659502364465,1.189980159858275,1.131581183560613,1.131581183560613,1.131581183560613,,,1.127921785857238,0.8264903741643697,1.0239870083581442,0.9794847175571949
45,1.0496638099558149,1.0124722254693062,0.42313443742191875,0.5513729073878999,0.5671453468456229,0.5671453468456229,0.5671453468456229,,,0.4005305162399022,0.5327085834607578,0.6507893976360952,0.5594832001718364
50,0.8787877071691099,0.47749994347883334,0.19261137613170823,0.48783930775622925,0.48783930775622925,0.48783930775622925,0.48783930775622925,0.48783930775622925,0.48783930775622925,0.28461600426621364,0.47413982265740445,0.4602193925421191,0.3000978221629188
55,1.0190150297071017,0.5815245312005629,0.4790564219016227,0.2592487734914345,0.2592487734914345,0.2592487734914345,0.2592487734914345,,,-0.027094156162346738,0.3853232922416971,0.2731574939519135,0.3067845106405104
60,0.5349883262294196,-0.10835576083562229,-0.008762628327322577,0.05429086339817898,0.05429086339817898,0.10474783871618311,0.10474783871618311,,,0.2658131937123922,0.4838199035661125,0.17746912800652218,0.28978334985843324
65,1.135539901898289,0.04648764294612095,-0.09627877306627887,0.1668589302359963,0.1931111266060742,0.1931111266060742,0.1931111266060742,,,0.5471614675909228,0.45387828495255683,-0.2206178768367863,0.439125178947436
70,0.23547026326814344,-0.5464605002917566,-0.3333636424073076,0.5876241787727391,0.27419398690141433,0.27419398690141433,0.27419398690141433,,,0.321327705680745,0.3667416777992303,-0.27177454658575323,-0.12122517017466869
75,-0.3897411336137449,-0.41429470168913274,-0.6078404585999736,0.4605982715277427,0.43737096732779945,0.43737096732779945,0.43737096732779945,,,0.265468714109656,0.20441878137236996,-0.08227656022307532,-0.12147277970815222
80,0.6214745365175364,-0.21433716637579295,-0.11743278947198865,0.04146408338017961,0.04146408338017961,0.04146408338017961,0.04146408338017961,,,0.32997583739051983,0.3372361244156371,-0.1217546434755923,0.21265211714016738
85,-0.10704161871749512,-0.19038631820658417,-0.34694966710817743,0.1882008851455801,0.1882008851455801,0.1882008851455801,0.1882008851455801,,,0.06151648922478835,0.03643577450048451,-0.8084222060008486,0.26537047397996016
90,-0.08713661210246362,-0.6678533201939312,-0.3382646425526148,-0.09359450354559626,-0.03203974061053121,-0.03203974061053121,-0.03203974061053121,,,0.055698219585308184,0.3716298705064872,0.049042323500566455,0.23036702091376027
95,0.5332354084485963,-0.40894559726627444,-0.18354284510340144,0.04076794996732091,0.034208140968462926,0.034208140968462926,0.034208140968462926,,,0.18860026777479824,0.23339543527616133,0.35091064019606744,0.33902916347857587
100,0.5805497706509241,0.2632020315108403,-0.3474078022217019,-0.3090535503878109,0.6155633570090974,0.6155633570090974,0.6155633570090974,,,-0.022981896026098486,0.36715669870245915,0.20690198825903744,0.42207142911330275
