Cluster,Mean Ret,Sig,Std Dev,Sharpe,Max Drawdown,Calmar,VaR (95%)
L01,-0.0192,***,0.1066,-0.6236,1.0,-0.2302,-0.2062
L02,-0.0067,*,0.0818,-0.2855,0.9975,-0.0811,-0.1442
L03,-0.005,,0.0919,-0.1903,0.9973,-0.0607,-0.1577
L04,-0.0049,,0.088,-0.191,0.9956,-0.0585,-0.1602
L05,-0.0037,,0.0602,-0.2141,0.9861,-0.0453,-0.1034
L06,-0.0028,,0.0816,-0.1205,0.9782,-0.0348,-0.1287
L07,-0.0018,,0.0855,-0.0744,0.9835,-0.0224,-0.1449
L08,-0.0001,,0.0936,-0.003,0.9814,-0.001,-0.1405
L09,0.0007,,0.0861,0.0278,0.9705,0.0085,-0.1264
L10,0.0008,,0.0827,0.0351,0.909,0.011,-0.1317
L11,0.0013,,0.0533,0.0814,0.9565,0.0157,-0.0833
L12,0.0017,,0.0888,0.0673,0.979,0.0212,-0.1439
L13,0.0021,,0.0838,0.0872,0.8956,0.0282,-0.1479
L14,0.0025,,0.0794,0.1084,0.9107,0.0327,-0.1242
L15,0.0028,,0.0549,0.1757,0.6861,0.0487,-0.0892
L16,0.0037,,0.0529,0.2412,0.658,0.0671,-0.0908
L17,0.0043,**,0.0489,0.3061,0.6155,0.0842,-0.0814
L18,0.0047,,0.0613,0.2654,0.766,0.0736,-0.089
L19,0.0056,*,0.0654,0.2956,0.7488,0.0895,-0.1037
L20,0.0059,**,0.0586,0.3503,0.7086,0.1003,-0.0883
L21,0.0058,,0.1042,0.194,0.8807,0.0795,-0.1662
L22,0.0062,***,0.0366,0.5854,0.49,0.1513,-0.0521
L23,0.0062,**,0.052,0.4134,0.554,0.1344,-0.0794
L24,0.0062,**,0.0578,0.371,0.7341,0.1011,-0.0943
L25,0.0067,**,0.057,0.4089,0.5732,0.1409,-0.0833
L26,0.007,***,0.0352,0.6875,0.3298,0.2545,-0.0512
L27,0.0069,**,0.0764,0.315,0.6758,0.1234,-0.1059
L28,0.0071,***,0.0547,0.4482,0.5579,0.1522,-0.0806
L29,0.0072,***,0.0464,0.5384,0.4932,0.1753,-0.0706
L30,0.0073,***,0.0546,0.4662,0.6245,0.1412,-0.0798
L31,0.0075,***,0.0449,0.5816,0.4807,0.1883,-0.0671
L32,0.0077,***,0.0421,0.6322,0.4311,0.214,-0.0593
L33,0.0078,***,0.0468,0.5762,0.6079,0.1538,-0.063
L34,0.0078,***,0.0347,0.7817,0.4892,0.192,-0.0563
L35,0.0078,**,0.0719,0.3739,0.8002,0.1164,-0.1039
L36,0.0078,***,0.0553,0.4884,0.5619,0.1665,-0.0816
L37,0.0085,***,0.045,0.6523,0.482,0.2112,-0.072
L38,0.0085,***,0.0697,0.4226,0.7125,0.1432,-0.1045
L39,0.0085,***,0.0564,0.5228,0.5965,0.1712,-0.0807
L40,0.0087,**,0.0743,0.4057,0.6838,0.1528,-0.1191
L41,0.0096,***,0.042,0.7913,0.3493,0.3295,-0.0577
L42,0.0096,***,0.0531,0.6283,0.5664,0.2042,-0.0765
L43,0.0097,***,0.0656,0.5114,0.6415,0.181,-0.0898
L44,0.01,***,0.0657,0.5263,0.5999,0.1998,-0.0979
L45,0.011,***,0.0769,0.4955,0.7146,0.1846,-0.1206
L46,0.0119,***,0.0634,0.6515,0.5958,0.2401,-0.0896
L47,0.0123,***,0.0827,0.5159,0.6596,0.224,-0.1226
L48,0.0129,***,0.0448,0.9982,0.5603,0.2765,-0.0558
L49,0.0144,***,0.056,0.8888,0.5466,0.3154,-0.0741
L50,0.0159,***,0.0754,0.7288,0.7386,0.2576,-0.1075
