Model,Low,t_Low,High,t_High,H-L,t_HL,SR(H-L)
Our Model,-0.0192***,(-3.47),0.0159***,(4.44),0.0350***,(7.79),0.4024
Vanilla,-0.0139***,(-2.92),0.0111***,(3.49),0.0250***,(6.32),0.3197
Inertia,-0.0121**,(-2.57),0.0176***,(5.40),0.0296***,(8.19),0.4608
Market,-0.0140***,(-10.11),0.0202***,(17.71),0.0062***,(3.02),0.1415
Size,-0.0097***,(-12.19),0.0119***,(12.75),0.0022*,(1.65),0.0756
Value,-0.0093***,(-10.93),0.0119***,(10.79),0.0026*,(1.73),0.0904
Investment,-0.0061***,(-12.33),0.0086***,(11.55),0.0026***,(2.64),0.1306
Momentum,-0.0117***,(-7.40),0.0182***,(13.68),0.0064***,(3.11),0.1461
Liquidity (PS),-0.0110***,(-11.40),0.0153***,(14.80),0.0043***,(2.68),0.1255
PEAD,-0.0043***,(-9.65),0.0102***,(16.40),0.0059***,(7.07),0.3123
Financing,-0.0102***,(-9.50),0.0170***,(11.60),0.0067***,(3.70),0.1753
