Variable,Regime,AVG,SR,GRS,p-value,mean|alpha|,sqrt(mean(alpha^2)),mean R2
DFY,Top,40.96,2.78,2.23,0.000,0.69,0.80,4.82
DFY,Btm,68.32,3.70,6.83,0.000,0.76,0.86,4.39
DFY,Com,44.71,2.83,,,,,
DY,Top,47.33,3.15,2.41,0.000,1.10,1.18,6.43
DY,Btm,62.54,3.50,6.71,0.000,0.71,0.81,4.83
DY,Com,44.71,2.83,,,,,
EP,Top,66.10,3.81,3.31,0.000,1.10,1.19,9.88
EP,Btm,49.86,3.09,6.19,0.000,0.69,0.79,4.19
EP,Com,44.71,2.83,,,,,
TBL,Top,98.00,4.51,2.32,0.001,0.76,0.96,4.64
TBL,Btm,43.57,2.85,5.64,0.000,0.81,0.91,5.58
TBL,Com,44.71,2.83,,,,,
TMS,Top,54.57,3.33,3.92,0.000,0.97,1.08,9.65
TMS,Btm,57.06,3.28,4.70,0.000,0.76,0.85,2.98
TMS,Com,44.71,2.83,,,,,
SVAR,Top,41.40,2.82,2.35,0.000,0.80,0.88,5.24
SVAR,Btm,74.14,3.87,6.08,0.000,0.73,0.85,2.43
SVAR,Com,44.71,2.83,,,,,
NI,Top,47.46,3.05,2.58,0.000,0.87,0.97,6.04
NI,Btm,53.80,3.14,5.38,0.000,0.67,0.79,3.69
NI,Com,44.71,2.83,,,,,
